Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C7, C8",0402,5,0.1uF/25V(20%),
"C11, C2, C9",0603,3,1uF/25V(20%),
C13,CP_Radial_D12.5mm_P5.00mm,1,220uF/25V(20%),
C3,CP_Radial_D12.5mm_P5.00mm,1,220uF/80V(20%),
C4,0603,1,1uF/100V(20%),
C5,0603,1,0.1uF/100V(20%),
C6,0402,1,10nF/25V(20%),
D1,D_SMF,1,SMF14A,
D2,LED_D5.0mm,1,RED LED,
D3,D_SMC,1,SMDJ58A,
D4,LED_D5.0mm,1,ORANGE LED,
D5,LED_D5.0mm,1,GREEN LED,
"J1, J2, J3, J4, J6, J7",Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,6,MicroFit_01x02,
J5,PinHeader_1x02_P2.54mm_Vertical,1,01x02_Pin_Socket,
R1,0402,1,10R(10%),
R10,0402,1,7.32k(5%),
"R11, R12, R13, R4, R5, R7",0402,6,4.7k(5%),
"R14, R16",0402,2,10k(5%),
R15,0402,1,100k(5%),
"R17, R3",0402,2,10k(10%),
R2,0402,1,2.2R(10%),
R6,0402,1,4M(5%),
R8,0603,1,1M(5%),
R9,0402,1,46.4k(5%),
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,10K(10%),
TP1,TestPoint_Pad_D1.5mm,1,GND,
TP2,TestPoint_Pad_D1.5mm,1,+12V,
TP3,TestPoint_Pad_D1.5mm,1,2.5VREF,
TP4,TestPoint_Pad_D1.5mm,1,OVERTEMP,
TP5,TestPoint_Pad_D1.5mm,1,BUS_OV,
U1,SOT95P280X145-6N,1,1EDN8511BXUSA1,
U2,TSSOP-8_4.4x3mm_P0.65mm,1,LM393,
U3,V48SD12005NNFA,1,V48SD12005NNFA,
U4,SOT-23-3,1,LM4040-2.5V,
