Designator,Mid X,Mid Y,Rotation,Layer
C1,136.271,-98.171,0.0,top
C10,170.307,-102.489,270.0,top
C11,184.277,-85.645,270.0,top
C12,185.547,-85.772,270.0,top
C13,189.992,-92.797,270.0,top
C2,136.665,-99.441,180.0,top
C3,140.589,-92.035,270.0,top
C4,146.812,-85.725,270.0,top
C5,148.336,-85.725,270.0,top
C6,156.845,-98.552,180.0,top
C7,158.75,-98.552,180.0,top
C8,162.687,-102.616,0.0,top
C9,170.18,-98.806,180.0,top
D1,137.741,-105.956,0.0,top
D2,142.306,-113.792,0.0,top
D3,144.979,-79.277,90.0,top
D4,152.306,-113.792,0.0,top
D5,162.306,-113.792,0.0,top
J1,132.7455,-103.481,270.0,top
J2,136.216,-77.2805,180.0,top
J3,147.9305,-103.608,270.0,top
J4,177.3225,-103.608,270.0,top
J5,181.483,-103.627,0.0,top
J6,190.881,-77.2805,180.0,top
J7,193.4835,-104.648,90.0,top
R1,136.293,-101.981,180.0,top
R10,152.656,-102.997,0.0,top
R11,158.496,-111.504,90.0,top
R12,160.655,-98.552,0.0,top
R13,162.685,-98.552,180.0,top
R14,162.685,-101.6,180.0,top
R15,162.687,-99.568,180.0,top
R16,162.687,-100.584,180.0,top
R17,170.307,-100.584,270.0,top
R2,136.293,-102.997,180.0,top
R3,138.198,-104.305,0.0,top
R4,138.557,-111.506,90.0,top
R5,148.59,-111.504,90.0,top
R6,152.654,-99.53325,0.0,top
R7,152.656,-98.552,0.0,top
R8,152.146,-100.7745,0.0,top
R9,152.658,-102.01575,0.0,top
RV1,155.194,-106.172,180.0,top
RV2,165.354,-106.172,180.0,top
U1,139.339,-101.981,0.0,top
U2,157.607,-100.965,270.0,top
U3,166.368,-86.106,0.0,top
U4,167.64,-101.092,0.0,top
