Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,Buzzer,
C1,0402,1,4.7nF/50V(10%),
"C10, C13, C2, C21, C23, C24, C25, C26, C29, C36, C37, C38, C40, C41, C42, C45, C46, C47, C50, C51, C54, C61, C7, C8",0402,24,100nF/50V(10%),
"C11, C12",0402,2,6pF/50V(10%),
"C14, C18, C22, C27, C9",0805,5,4.7uF/16V(10%),
"C15, C20, C39",0603,3,1uF/16V(10%),
"C16, C28, C3, C4, C5, C6, C60",1206,7,10uF/50V(10%),
"C17, C19",0402,2,33pF/50V(10%),
"C30, C31, C32, C33, C34, C35, C55, C56, C57, C58, C59, C62",0402,12,10nF/50V(10%),
"C43, C44, C48, C49",0402,4,1nF/50V(10%),
C52,0603,1,2.2uF/10V(10%),
C53,0402,1,100pF/50V(10%),
"D1, D2, D3, D4",D_SMB,4,SMBJ16A,
D10,0805,1,GR_MCU_LED_0,
D11,0805,1,RE_FAULT_0,
D12,0805,1,OR_MCU_LED_0,
D13,0805,1,RE_OV,
D14,0805,1,RE_FAULT_1,
D15,0805,1,OR_MOTOR,
D16,0805,1,RE_FAULT_2,
D17,0805,1,RE_FAULT,
D18,0805,1,RE_FAULT_3,
D19,0805,1,GR_K_EN,
D20,0805,1,GR_STATE_0,
D21,0805,1,OR_DBG_PWR,
"D22, D26, D29",D_SMB,3,VSSB410S,
D23,0805,1,GR_STATE_1,
"D24, D27, D28",D_SOD-123,3,14V,
D25,0805,1,GR_K_SEL,
"D30, D31, D32, D33, D34, D37",D_SOD-882,6,AQ3041,
"D35, D36",D_SOD-123,2,3.3V,
D5,0805,1,GR_3.3V,
D6,0805,1,GR_5V,
D7,0805,1,GR_12V,
D8,0805,1,GR_5VSW,
D9,0805,1,GR_12VSW,
"F1, F2, F3, F4",FUSC5141X160N,4,SMDH2016B260TF,
F5,RGEF500,1,RGEF500,
FB1,0603,1,120R/3A,
J1,TBP02R138102BE,1,AUX_OUT_3,
"J10, J11",IDC-Header_2x05_P2.54mm_Vertical,2,IDC_02x05,
J12,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,RS485,
J13,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,VIN,
J14,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,EXT_RES,
J15,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,MOTOR_CONT,
J16,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,THERM_1,
J17,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,THERM_0,
J18,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,V_SENSE,
J19,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,ESTOP_OK,
J2,TBP02R138102BE,1,ESTOP_REP,
J20,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,SW_MISC,
J21,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,SW_REMOTE_ARM,
J3,TBP02R138102BE,1,AUX_OUT_2,
J4,TBP02R138102BE,1,AUX_OUT_1,
J5,TBP02R138102BE,1,AUX_OUT_0,
J6,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,PSU_B2B_PWR,
J7,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,PSU_B2B_SIG,
J8,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,RCU_B2B,
K1,G5LE1A4DC12,1,G5LE-1A4-DC12,
K2,G5LE-14_SPDT,1,G5LE-14-ASI_DC12,
"Q1, Q10, Q11, Q14, Q6, Q7, Q8, Q9",SOT-23,8,MMBT3904,
Q12,DMP4013LFG7,1,DMP6023LFG-7,
Q13,ONSemi_SO-8FL_488AA,1,NTMFS5C673NLT1G,
"Q2, Q3, Q4, Q5",DMP1022UFDEQ7,4,DMP3014SFDE-13,
"R1, R100, R2, R93, R94, R99",0402,6,4.7k(10%),
"R10, R12, R14, R16, R18, R28, R36, R43, R45, R47, R48, R49, R53, R58, R68, R7, R76, R79",0402,18,10k(10%),
"R101, R104, R105, R108, R109, R88, R89, R92",0603,8,100k(1%),
"R102, R55, R59",0402,3,330R(10%),
"R103, R11, R112, R113, R114, R115, R116, R123, R13, R15, R17, R19, R22, R24, R25, R56, R57, R6, R65, R87",0402,20,100k(10%),
"R106, R107, R75",0402,3,2k(1%),
"R110, R117",0402,2,4.7R(1%),
R111,2512,1,10m/1W(1%),
"R118, R119, R120, R121, R122, R125, R126, R128, R129, R130, R131, R132, R133, R29, R30, R31, R33, R34, R35, R39, R41, R42, R46, R5, R51, R54, R60, R61, R62, R63, R64, R67, R86, R95, R96, R97, R98",0402,37,1k(10%),
R124,0402,1,120R(1%),
"R127, R69, R70, R71, R84",0402,5,10k(1%),
"R20, R21, R23, R26, R37, R38",0402,6,100R(10%),
"R27, R9",0402,2,1.8k(10%),
"R3, R4",0402,2,60R(1%),
"R32, R44, R52",0402,3,0R(10%),
R50,0402,1,3.3k(10%),
R66,0402,1,820(10%),
"R72, R73, R90, R91",0402,4,2.2M(10%),
R74,0402,1,30k(1%),
"R77, R78, R83",0402,3,100k(1%),
R8,0402,1,510R(10%),
"R80, R81",0402,2,5.6k(1%),
R82,0402,1,150k(1%),
R85,0402,1,22k(1%),
"RV1, RV2, RV3, RV4",Potentiometer_Bourns_3296Y_Vertical,4,20k(10%),
SW1,SW_SPST_TS-1088-xR020,1,SW_SPST,
TH1,0402,1,NTC/10K,
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,11,TestPoint,
U1,SOP-4_3.8x4.1mm_P2.54mm,1,CPC1017N,
U10,QFN50P700X700X100-49N-D,1,LCMXO2-640HC-5SG48I,
U11,TSSOP-14_4.4x5mm_P0.65mm,1,LM339,
"U12, U13",XC7WT14GT115,2,"74LVC3G17GT,115",
U14,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1400D,
U15,SOT-363_SC-70-6,1,MCP6C26T-050E_LTY,
U2,SOT-323_SC-70,1,ESDCAN03-2BWY,
