Designator,Mid X,Mid Y,Rotation,Layer
BZ1,106.2922,-117.673,90.0,top
C1,88.37,-146.836,180.0,top
C10,116.1328,-115.2346,180.0,top
C11,116.5818,-131.1096,180.0,top
C12,116.5818,-132.0825,180.0,top
C13,117.7036,-88.773,0.0,top
C14,118.0084,-87.2744,180.0,top
C15,118.5164,-80.137,0.0,top
C16,119.5832,-50.5968,180.0,top
C17,120.5162,-132.5854,270.0,top
C18,121.4628,-87.2744,0.0,top
C19,121.4781,-132.5854,270.0,top
C2,93.11,-138.7,90.0,top
C20,121.5266,-80.137,180.0,top
C21,121.7422,-88.7476,180.0,top
C22,123.21,-141.38,180.0,top
C23,123.63,-129.5856,0.0,top
C24,126.9278,-118.96,90.0,top
C25,126.9278,-120.837,90.0,top
C26,126.9492,-79.5528,90.0,top
C27,128.4518,-120.3289,270.0,top
C28,128.6002,-79.5256,270.0,top
C29,129.5,-145.14,0.0,top
C3,96.3512,-56.945,90.0,top
C30,129.6628,-122.7022,180.0,top
C31,129.6628,-123.69595,180.0,top
C32,129.6628,-124.6897,180.0,top
C33,129.6716,-125.6792,180.0,top
C34,129.6716,-126.67295,180.0,top
C35,129.6716,-127.6667,180.0,top
C36,129.94,-142.18,270.0,top
C37,130.459,-105.4354,180.0,top
C38,131.346,-150.0124,0.0,top
C39,131.5212,-101.6762,0.0,top
C4,96.3676,-78.3318,90.0,top
C40,132.83,-140.32,270.0,top
C41,136.32,-140.31,270.0,top
C42,136.8018,-150.0124,180.0,top
C43,138.2962,-122.1942,180.0,top
C44,138.2962,-125.166,180.0,top
C45,139.192,-148.6128,90.0,top
C46,139.6518,-145.669,180.0,top
C47,141.9098,-101.8058,90.0,top
C48,146.2744,-115.12,90.0,top
C49,149.17,-115.12,90.0,top
C5,96.393,-67.6638,90.0,top
C50,150.0576,-142.990867,0.0,top
C51,150.0576,-146.0754,0.0,top
C52,152.5524,-90.551,180.0,top
C53,152.675,-84.6308,90.0,top
C54,152.9842,-89.3064,180.0,top
C55,153.5938,-127.4598,270.0,top
C56,153.5938,-130.683,270.0,top
C57,153.5938,-133.6802,270.0,top
C58,153.5938,-145.1082,270.0,top
C59,153.5938,-148.082,270.0,top
C6,96.4184,-89.027,90.0,top
C60,154.82,-139.58,0.0,top
C61,154.9034,-48.9752,180.0,top
C62,156.3878,-117.0884,270.0,top
C7,110.8896,-131.5668,90.0,top
C8,112.554768,-125.9026,270.0,top
C9,115.3448,-113.736,0.0,top
D1,88.0618,-64.3128,180.0,top
D10,103.86,-131.9033,90.0,top
D11,101.8,-150.3625,90.0,top
D12,105.9112,-131.9033,90.0,top
D13,106.89,-46.0475,270.0,top
D14,105.3,-150.37,90.0,top
D15,110.265,-46.0475,270.0,top
D16,108.79,-150.37,90.0,top
D17,113.64,-46.0475,270.0,top
D18,112.28,-150.37,90.0,top
D19,114.808,-53.5946,270.0,top
D2,88.0868,-96.3168,180.0,top
D20,118.14,-150.37,90.0,top
D21,118.6223,-85.1154,0.0,top
D22,119.5832,-54.0541,0.0,top
D23,121.63,-150.37,90.0,top
D24,124.46,-54.0287,90.0,top
D25,133.7056,-53.6425,270.0,top
D26,138.4808,-54.102,0.0,top
D27,142.6972,-81.3054,90.0,top
D28,143.3576,-54.0766,90.0,top
D29,146.177,-80.011,90.0,top
D3,88.0962,-74.93,180.0,top
D30,155.702,-127.4598,270.0,top
D31,155.702,-130.7084,270.0,top
D32,155.702,-133.7056,270.0,top
D33,155.702,-145.1336,270.0,top
D34,155.702,-148.1018,270.0,top
D35,157.988,-95.1004,270.0,top
D36,157.988,-103.3818,270.0,top
D37,158.5214,-117.094,270.0,top
D4,88.1104,-85.6238,180.0,top
D5,88.646,-46.0479,270.0,top
D6,92.0877,-46.0479,270.0,top
D7,95.5294,-46.0479,270.0,top
D8,98.9711,-46.0479,270.0,top
D9,102.4128,-46.0479,270.0,top
F1,87.7342,-59.5282,180.0,top
F2,87.757,-91.5416,180.0,top
F3,87.7664,-70.1548,180.0,top
F4,87.7738,-80.8482,180.0,top
F5,90.935,-101.04,0.0,top
