"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R74,R73";"R_0402_1005Metric";2;"100k(1%)";;;
2;"C60,C61,C109,C71";"C_0402_1005Metric";4;"100pF/50V(10%)";;;
3;"U1";"TSSOP-14_4.4x5mm_P0.65mm";1;"TPS2492PW";;;
4;"C87,C39,C73,C62,C56,C5,C75,C91,C86,C88,C76,C74,C89,C55,C35";"C_1206_3216Metric";15;"10uF/50V(10%)";;;
5;"L5";"INDPM135125X650N";1;"6.8uH/11.5A(20%)";;;
6;"R83,R62,R63,R68,R75";"R_0402_1005Metric";5;"1K(1%)";;;
7;"R11,R19,R84,R87,R41,R7,R12,R13,R5,R15,R88,R51";"R_0402_1005Metric";12;"10k(10%)";;;
8;"C52,C12,C15,C13,C14";"C_1210_3225Metric";5;"10uF/100V(10%)";;;
9;"U13,U6";"SOT-563";2;"AP62200Z6-7";;;
10;"R44,R43,R50,R49";"R_0402_1005Metric";4;"4.7R(1%)";;;
11;"R22,R36";"R_0805_2012Metric";2;"2.2R/0.125W(10%)";;;
12;"C59,C69,C90,C40";"CAPAE830X700N";4;"100uF/35\V(20%)";;;
13;"R42,R39";"R_0402_1005Metric";2;"51k(10%)";;;
14;"C80,C106,C95,C58,C82,C65,C9,C98,C107,C1,C83,C30,C63,C112,C66,C108,C50,C33,C77,C111,C97,C7,C102,C36,C22,C94";"C_0402_1005Metric";26;"100nF/50V(10%)";;;
15;"C105,C92,C104,C85";"C_0603_1608Metric";4;"1uF/16V(10%)";;;
16;"R66,R81,R64";"R_0402_1005Metric";3;"100R(1%)";;;
17;"J9,J10";"TBP02R138102BE";2;"12V_SW";;;
18;"C100,C8,C10,C21,C38,C16,C20,C25,C46";"C_0603_1608Metric";9;"100nF/100V(20%)";;;
19;"R82,R78,R71";"R_0402_1005Metric";3;"10K(1%)";;;
20;"C57,C81";"C_0603_1608Metric";2;"2.2uF/10V(10%)";;;
21;"F3";"FUSC5141X160N";1;"2016L260/24MR";;;
22;"R25";"R_0402_1005Metric";1;"1.3k(1%)";;;
23;"R86,R85";"R_0402_1005Metric";2;"150K(1%)";;;
24;"C28,C70,C26,C32";"C_0805_2012Metric";4;"2.2uF/25V(10%)";;;
25;"J3";"AMASS_XT30PW-F_1x02_P2.50mm_Horizontal";1;"VRAW_SW";;;
26;"U7";"SOT-223";1;"AP2114HA-3.3TRG1";;;
27;"U14";"XC7WT14GT115";1;"74LVC3G17GT,115";;;
28;"R61,R58,R1,R46,R60,R2,R70";"R_0402_1005Metric";7;"10k(1%)";;;
29;"C64,C110";"C_0603_1608Metric";2;"470nF/25V(10%)";;;
30;"R77,R79";"R_0402_1005Metric";2;"22R(10%)";;;
31;"R18,R17";"R_0402_1005Metric";2;"27k(10%)";;;
32;"C18,C17,C11,C49,C48,C47,C19,C24,C6";"C_0805_2012Metric";9;"2.2uF/100V(10%)";;;
33;"C43,C37";"C_0402_1005Metric";2;"4.7nF/50V(10%)";;;
34;"R16";"R_2512_6332Metric";1;"3m/2W(1%)";;;
35;"C99,C41,C23,C34";"C_0603_1608Metric";4;"1uF/100V(10%)";;;
36;"C101,C103";"C_0402_1005Metric";2;"10nF/50V(10%)";;;
37;"D11";"D_SMB";1;"SMBJ6.0A";;;
38;"R30";"R_0805_2012Metric";1;"35.7k/0.125W(1%)";;;
39;"TP4";"TestPoint_Pad_D1.0mm";1;"12V";;;
40;"Q2";"SOT-23";1;"2N7002K";;;
41;"D4";"D_0805_2012Metric";1;"OR_FAN";;;
42;"C79";"C_0603_1608Metric";1;"1uF/25V(10%)";;;
43;"D6";"D_0805_2012Metric";1;"OR_VRAW_PRESENT";;;
44;"R27,R35";"R_0603_1608Metric";2;"2.2R/0.125W(10%)";;;
45;"J4";"TBP02R138102BE";1;"24V_SW";;;
46;"D15";"D_0805_2012Metric";1;"GR_SW_PGOOD";;;
47;"R93,R90,R92,R91,R56,R89,R9";"R_0402_1005Metric";7;"1k(10%)";;;
48;"U4,U3";"VQFN32_6X6_3EP_PHA_MCH";2;"MIC28517T-E/PHA";;;
49;"TP8";"TestPoint_Pad_D1.0mm";1;"3.3V";;;
50;"F4,F6";"FUSC5141X160N";2;"2016L300/16MR";;;
51;"TP10";"TestPoint_Pad_D1.0mm";1;"SCL";;;
52;"R59,R54";"R_0402_1005Metric";2;"330k(10%)";;;
53;"F1";"65600301009";1;"3x20mm/8A";;;
54;"D3";"D_SOD-323";1;"Vz 10V";;;
55;"R32,R26";"R_0402_1005Metric";2;"62k(1%)";;;
56;"TP6,TP11";"TestPoint_Pad_D1.0mm";2;"5V_SW";;;
57;"TP3";"TestPoint_Pad_D1.0mm";1;"VRAW_SW";;;
58;"J5";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"EN";;;
59;"C93,C84,C68,C67";"C_0805_2012Metric";4;"22uF/10V(10%)";;;
60;"C78,C45,C31,C72,C96";"C_0805_2012Metric";5;"4.7uF/16V(10%)";;;
61;"R67";"R_0402_1005Metric";1;"82k(1%)";;;
62;"R3";"R_0402_1005Metric";1;"51k(1%)";;;
63;"D5,D1,D7";"D_SMC";3;"SMC5K60A";;;
64;"R72";"R_0402_1005Metric";1;"2.2R(10%)";;;
65;"U2";"SOT-363_SC-70-6";1;"74LVC2G14GW";;;
66;"R21";"R_0603_1608Metric";1;"10R(1%)";;;
67;"Q3";"SIA469DJT1GE3";1;"SIA469DJ";;;
68;"L1";"L_1008_2520Metric";1;"1uH/5A(20%)";;;
69;"R57";"R_0402_1005Metric";1;"13k(1%)";;;
70;"J7";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"12V_SW";;;
71;"C2";"C_0402_1005Metric";1;"3.3nF/50V(10%)";;;
72;"R80,R47";"R_0402_1005Metric";2;"52.3k(1%)";;;
73;"U5,U8";"SOT-363_SC-70-6";2;"MCP6C26T-050E_LTY";;;
74;"R6";"R_0402_1005Metric";1;"100k(10%)";;;
75;"R33";"R_0603_1608Metric";1;"3.9k/0.125W(1%)";;;
76;"U11";"TSSOP-8_4.4x3mm_P0.65mm";1;"LM393";;;
77;"R23,R37";"R_0603_1608Metric";2;"100k/0.125W(1%)";;;
78;"C27,C4,C3";"CP_Radial_D10.0mm_P5.00mm";3;"100uF/100V(20%)";;;
79;"L6,L4";"ASPI-4030S";2;"4.7uH/3A(20%)";;;
80;"R69";"R_0402_1005Metric";1;"130K(1%)";;;
81;"U10";"Vishay_PowerPAK_MLP44-24L";1;"SIC437A";;;
82;"Q1";"SOT-23";1;"MMBT3904";;;
83;"TP2";"TestPoint_Pad_D1.0mm";1;"VRAW";;;
84;"D13";"D_0805_2012Metric";1;"GR_24V_SW_PGOOD";;;
