Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C102, C106, C107, C108, C111, C112, C22, C30, C33, C36, C50, C58, C63, C65, C66, C7, C77, C80, C82, C83, C9, C94, C95, C97, C98",0402,26,100nF/50V(10%),
"C10, C100, C16, C20, C21, C25, C38, C46, C8",0603,9,100nF/100V(20%),
"C101, C103",0402,2,10nF/50V(10%),
"C104, C105, C85, C92",0603,4,1uF/16V(10%),
"C109, C60, C61, C71",0402,4,100pF/50V(10%),
"C11, C17, C18, C19, C24, C47, C48, C49, C6",0805,9,2.2uF/100V(10%),
"C110, C64",0603,2,470nF/25V(10%),
"C12, C13, C14, C15, C52",1210,5,10uF/100V(10%),
C2,0402,1,3.3nF/50V(10%),
"C23, C34, C41, C99",0603,4,1uF/100V(10%),
"C26, C28, C32, C70",0805,4,2.2uF/25V(10%),
"C27, C3, C4",CP_Radial_D10.0mm_P5.00mm,3,100uF/100V(20%),
"C31, C45, C72, C78, C96",0805,5,4.7uF/16V(10%),
"C35, C39, C5, C55, C56, C62, C73, C74, C75, C76, C86, C87, C88, C89, C91",1206,15,10uF/50V(10%),
"C37, C43",0402,2,4.7nF/50V(10%),
"C40, C59, C69, C90",CAPAE830X700N,4,100uF/35\V(20%),
"C57, C81",0603,2,2.2uF/10V(10%),
"C67, C68, C84, C93",0805,4,22uF/10V(10%),
C79,0603,1,1uF/25V(10%),
"D1, D5, D7",D_SMC,3,SMC5K60A,
D10,D_SMC,1,SMCJ15A,
D11,D_SMB,1,SMBJ6.0A,
D12,0805,1,GR_12V_PGOOD,
D13,0805,1,GR_24V_SW_PGOOD,
D14,0805,1,GR_12V_SW_PGOOD,
D15,0805,1,GR_SW_PGOOD,
D16,0805,1,RED_SW_FAULT,
D2,D_SMB,1,VSSB410S,
D3,D_SOD-323,1,Vz 10V,
D4,0805,1,OR_FAN,
D6,0805,1,OR_VRAW_PRESENT,
D8,D_SMA,1,SS1150-LTP,
D9,D_SMB,1,SMBJ26A,
F1,65600301009,1,3x20mm/8A,
"F2, F5",Fuseholder_Blade_Mini_Keystone_3568,2,MINI297/10A,
F3,FUSC5141X160N,1,2016L260/24MR,
"F4, F6",FUSC5141X160N,2,2016L300/16MR,
FB1,1206,1,50R/12A,
FB2,0603,1,120R/3A,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,VRAW,
"J10, J9",TBP02R138102BE,2,12V_SW,
J11,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,B2B_SIG,
J12,TBP02R138102BE,1,5V_SW,
J2,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,12V_FAN,
J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,VRAW_SW,
J4,TBP02R138102BE,1,24V_SW,
