Designator,Mid X,Mid Y,Rotation,Layer
C1,179.35,-147.68,270.0,top
C10,141.13,-137.335,270.0,top
C100,168.08,-57.4,270.0,top
C101,200.8,-55.445,180.0,top
C102,132.15,-54.71,0.0,top
C103,200.8,-54.475,180.0,top
C104,209.91,-55.5,270.0,top
C105,210.82,-53.25,180.0,top
C106,200.8,-52.515,180.0,top
C107,169.22,-53.385,90.0,top
C108,200.81,-50.565,180.0,top
C109,130.23,-50.83,90.0,top
C11,142.88,-137.555,90.0,top
C110,132.42,-50.28,90.0,top
C111,179.7,-49.68,0.0,top
C112,208.02,-49.265,0.0,top
C12,145.5,-138.155,90.0,top
C13,148.74,-138.155,90.0,top
C14,151.98,-138.155,90.0,top
C15,203.13,-132.61,180.0,top
C16,182.72,-132.015,270.0,top
C17,202.53,-129.98,180.0,top
C18,202.53,-127.99,180.0,top
C19,202.53,-126.01,180.0,top
C2,178.37,-145.8,270.0,top
C20,200.06,-125.005,90.0,top
C21,202.315,-124.26,180.0,top
C22,194.79,-123.885,180.0,top
C23,194.915,-122.32,180.0,top
C24,129.02,-120.34,90.0,top
C25,127.27,-120.34,270.0,top
C26,194.69,-120.59,0.0,top
C27,175.84,-109.85,180.0,top
C28,197.75,-115.03,0.0,top
C3,202.12,-139.51,180.0,top
C30,205.19,-113.63,180.0,top
C31,201.38,-114.61,180.0,top
C32,161.2893,-110.794998,90.0,top
C33,121.01,-111.76,0.0,top
C34,163.0393,-110.579998,270.0,top
C35,203.795,-111.98,180.0,top
C36,164.5293,-110.61,270.0,top
C37,198.54,-113.55,0.0,top
C38,165.7493,-105.33,180.0,top
C39,203.795,-109.65,180.0,top
C4,159.06,-139.427677,90.0,top
C40,144.4093,-108.769998,0.0,top
C41,120.83,-109.78,270.0,top
C43,154.5793,-106.724998,90.0,top
C45,155.5693,-104.069998,270.0,top
C46,165.0193,-103.089998,270.0,top
C47,166.7793,-102.859998,270.0,top
C48,168.7793,-102.859998,270.0,top
C49,170.7793,-102.859998,270.0,top
C5,224.82,-141.79,180.0,top
C50,154.3093,-100.279998,270.0,top
C52,173.3993,-102.259998,270.0,top
C55,150.3393,-101.669998,270.0,top
C56,152.6693,-101.669998,270.0,top
C57,139.1325,-95.72,180.0,top
C58,139.6925,-94.49,180.0,top
C59,203.21,-99.09,180.0,top
C6,167.9,-140.26,180.0,top
C60,139.1925,-89.81,90.0,top
C61,199.5,-81.38,180.0,top
C62,205.03,-80.82,90.0,top
C63,203.37,-79.43,90.0,top
C64,198.94,-79.16,180.0,top
C65,205.02,-77.57,270.0,top
C66,128.31,-75.78,180.0,top
C67,206.5,-76.79,270.0,top
C68,208.51,-76.79,270.0,top
C69,150.26,-69.985,90.0,top
C7,226.205,-140.14,180.0,top
C70,128.37,-73.59,270.0,top
C71,143.95,-70.95,270.0,top
C72,202.41,-69.81,270.0,top
C73,156.2,-70.59,90.0,top
C74,158.54,-70.59,90.0,top
C75,160.88,-70.59,90.0,top
C76,163.22,-70.59,90.0,top
C77,164.87,-71.585,90.0,top
C78,202.41,-66.36,90.0,top
C79,199.73,-63.69,180.0,top
C8,168.115,-138.52,0.0,top
C80,143.44,-66.28,0.0,top
C81,144.01,-65.05,0.0,top
C82,199.16,-62.46,180.0,top
C83,194.33,-60.66,90.0,top
C84,134.79,-59.82,180.0,top
C85,175.66,-56.725,180.0,top
C86,157.69,-56.575,270.0,top
C87,160.02,-56.575,270.0,top
C88,162.35,-56.575,270.0,top
C89,164.68,-56.575,270.0,top
C9,186.11,-137.01,0.0,top
C90,151.77,-58.295,270.0,top
C91,130.76,-56.36,0.0,top
