"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C36";"C_0402_1005Metric";1;"22nF/50V(10%)";;;
2;"C24,C41,C35,C28,C25,C12,C34,C21,C22,C13,C20,C4,C27,C9,C29,C38,C5,C15";"C_0402_1005Metric";18;"100nF/50V(10%)";;;
3;"TH1";"R_0402_1005Metric";1;"NTC/10K";;;
4;"C42,C39,C8";"C_0402_1005Metric";3;"4.7nF/50V(10%)";;;
5;"U10";"SOT-23-5";1;"MCP1316MT-31LE/OT";;;
6;"R24,R1,R20,R17";"R_0402_1005Metric";4;"1k(10%)";;;
7;"R7";"R_0402_1005Metric";1;"100k(10%)";;;
8;"R18,R2,R3,R9,R25,R4,R8,R19";"R_0402_1005Metric";8;"10k(10%)";;;
9;"TP7,TP1,TP4,TP5,TP3,TP6,TP2";"TestPoint_Pad_D1.0mm";7;"TestPoint";;;
10;"J2";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"RCU_B2B";;;
11;"R44,R39,R32,R33";"R_0402_1005Metric";4;"4.7k(10%)";;;
12;"R53,R35,R23,R22,R16";"R_0402_1005Metric";5;"0R(10%)";;;
13;"C32";"C_0402_1005Metric";1;"470pF/50V(10%)";;;
14;"U15,U5,U16";"VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm";3;"TCAN3414DRBR";;;
15;"SW1";"SW_SPST_TS-1088-xR020";1;"ESP_BOOT";;;
16;"C37,C11,C23,C10,C18";"C_0805_2012Metric";5;"4.7uF/16V(10%)";;;
17;"U3";"ESP32C3MINI1UH4X";1;"ESP32-C3-MINI-1U-H4X";;;
18;"U13,U9";"Oscillator_SMD_VSON-4_2x1.6mm";2;"CDC6CEx";;;
19;"C19,C2,C33,C14,C1,C31,C3";"C_0603_1608Metric";7;"1uF/16V(10%)";;;
20;"Q1";"SOT-23";1;"MMBT3904";;;
21;"J4";"IDC-Header_2x08_P2.54mm_Vertical";1;"EXPANSION_HEADER";;;
22;"R43,R36";"R_1206_3216Metric";2;"510k/500V(10%)";;;
23;"SW2";"SW_SPST_TS-1088-xR020";1;"SW_SPST";;;
24;"R51,R54,R11,R52,R12";"R_0402_1005Metric";5;"22R(1%)";;;
25;"J5";"IDC-Header_2x05_P2.54mm_Vertical";1;"IDC_02x05";;;
26;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
27;"R15,R48,R49,R10,R50,R45";"R_0402_1005Metric";6;"60R(1%)";;;
28;"U12";"LQFP-100_14x14mm_P0.5mm";1;"STM32H723VGT6";;;
29;"R26,R27";"R_0402_1005Metric";2;"100R(10%)";;;
30;"C40";"C_1206_3216Metric";1;"1nF/2kV(10%)";;;
31;"R30,R28,R29";"R_0402_1005Metric";3;"10R(10%)";;;
32;"F2,F1";"FUSC4632X200N";2;"1.95A";;;
33;"J8";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"CAN_MTR_R";;;
34;"Y1";"Crystal_DS26_D2.0mm_L6.0mm_Vertical";1;"ECS-.327-6-13X";;;
35;"U18,U6,U17";"SOT-323_SC-70";3;"ESDCAN03-2BWY";;;
36;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
37;"R21";"R_0402_1005Metric";1;"10k(1%)";;;
38;"R47,R41,R46,R40";"R_0402_1005Metric";4;"49.9R(1%)";;;
39;"R5,R6";"R_0402_1005Metric";2;"5.1k(1%)";;;
40;"U7";"ST_LGA-14L_2.5x3.0mm_P0.5mm_4x3";1;"LSM6DSOX";;;
41;"R34";"R_0402_1005Metric";1;"33R(10%)";;;
42;"D4";"D_0805_2012Metric";1;"OR_MCU_LED_1";;;
43;"C17,C16";"C_0402_1005Metric";2;"6pF/50V(10%)";;;
44;"R38,R42,R13,R14";"R_0402_1005Metric";4;"330R(10%)";;;
45;"C7,C6";"C_0603_1608Metric";2;"10uF/10V(20%)";;;
46;"U11";"SOT-223";1;"AP2114HA-3.3TRG1";;;
47;"J6";"RJ45_Amphenol_RJMG1BD3B8K1ANR";1;"RJ45_Amphenol_RJMG1BD3B8K1ANR";;;
48;"FB1";"L_0603_1608Metric";1;"120R/3A";;;
49;"D2";"D_0805_2012Metric";1;"GR_PWR";;;
50;"C30,C26";"C_0603_1608Metric";2;"2.2uF/10V(10%)";;;
51;"BZ1";"C_Radial_D10.0mm_H12.5mm_P5.00mm";1;"Buzzer";;;
52;"D1";"D_0805_2012Metric";1;"GR_ESP_STATUS";;;
53;"SW3";"SW_SPST_TS-1088-xR020";1;"ESP_EN";;;
54;"R31";"R_0402_1005Metric";1;"1.5k(10%)";;;
55;"U8,U1,U2";"SOT-363_SC-70-6";3;"LM66100DCK";;;
56;"J7";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"IMU1";;;
57;"U14";"VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"LAN8742A";;;
58;"D3";"D_0805_2012Metric";1;"GR_MCU_LED_0";;;
59;"J9";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"CAN_MTR_L";;;
60;"R37";"R_0402_1005Metric";1;"12.1k(1%)";;;
61;"FB2";"L_0402_1005Metric";1;"220R/0.6A";;;
