Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,Buzzer,
"C1, C14, C19, C2, C3, C31, C33",0603,7,1uF/16V(10%),
"C10, C11, C18, C23, C37",0805,5,4.7uF/16V(10%),
"C12, C13, C15, C20, C21, C22, C24, C25, C27, C28, C29, C34, C35, C38, C4, C41, C5, C9",0402,18,100nF/50V(10%),
"C16, C17",0402,2,6pF/50V(10%),
"C26, C30",0603,2,2.2uF/10V(10%),
C32,0402,1,470pF/50V(10%),
C36,0402,1,22nF/50V(10%),
"C39, C42, C8",0402,3,4.7nF/50V(10%),
C40,1206,1,1nF/2kV(10%),
"C6, C7",0603,2,10uF/10V(20%),
D1,0805,1,GR_ESP_STATUS,
D2,0805,1,GR_PWR,
D3,0805,1,GR_MCU_LED_0,
D4,0805,1,OR_MCU_LED_1,
"F1, F2",FUSC4632X200N,2,1.95A,
FB1,0603,1,120R/3A,
FB2,0402,1,220R/0.6A,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,RCU_B2B,
J4,IDC-Header_2x08_P2.54mm_Vertical,1,EXPANSION_HEADER,
J5,IDC-Header_2x05_P2.54mm_Vertical,1,IDC_02x05,
J6,RJ45_Amphenol_RJMG1BD3B8K1ANR,1,RJ45_Amphenol_RJMG1BD3B8K1ANR,
J7,Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,1,IMU1,
J8,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,CAN_MTR_R,
J9,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,CAN_MTR_L,
Q1,SOT-23,1,MMBT3904,
"R1, R17, R20, R24",0402,4,1k(10%),
"R10, R15, R45, R48, R49, R50",0402,6,60R(1%),
"R11, R12, R51, R52, R54",0402,5,22R(1%),
"R13, R14, R38, R42",0402,4,330R(10%),
"R16, R22, R23, R35, R53",0402,5,0R(10%),
"R18, R19, R2, R25, R3, R4, R8, R9",0402,8,10k(10%),
R21,0402,1,10k(1%),
"R26, R27",0402,2,100R(10%),
"R28, R29, R30",0402,3,10R(10%),
R31,0402,1,1.5k(10%),
"R32, R33, R39, R44",0402,4,4.7k(10%),
R34,0402,1,33R(10%),
"R36, R43",1206,2,510k/500V(10%),
R37,0402,1,12.1k(1%),
"R40, R41, R46, R47",0402,4,49.9R(1%),
"R5, R6",0402,2,5.1k(1%),
R7,0402,1,100k(10%),
SW1,SW_SPST_TS-1088-xR020,1,ESP_BOOT,
SW2,SW_SPST_TS-1088-xR020,1,SW_SPST,
SW3,SW_SPST_TS-1088-xR020,1,ESP_EN,
TH1,0402,1,NTC/10K,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
"U1, U2, U8",SOT-363_SC-70-6,3,LM66100DCK,
U10,SOT-23-5,1,MCP1316MT-31LE/OT,
U11,SOT-223,1,AP2114HA-3.3TRG1,
U12,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGT6,
"U13, U9",Oscillator_SMD_VSON-4_2x1.6mm,2,CDC6CEx,
U14,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,LAN8742A,
"U15, U16, U5",VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,3,TCAN3414DRBR,
"U17, U18, U6",SOT-323_SC-70,3,ESDCAN03-2BWY,
U3,ESP32C3MINI1UH4X,1,ESP32-C3-MINI-1U-H4X,
U4,SOT-23-6,1,USBLC6-2SC6,
U7,ST_LGA-14L_2.5x3.0mm_P0.5mm_4x3,1,LSM6DSOX,
Y1,Crystal_DS26_D2.0mm_L6.0mm_Vertical,1,ECS-.327-6-13X,
