Designator,Mid X,Mid Y,Rotation,Layer
BZ1,134.24,-135.62,180.0,top
C1,102.49,-120.0825,270.0,top
C10,119.63,-99.17,90.0,top
C11,119.63,-102.61,270.0,top
C12,119.7,-97.0,180.0,top
C13,119.7,-104.81,180.0,top
C14,120.485,-119.34,180.0,top
C15,121.0825,-124.6,180.0,top
C16,123.35,-115.79,270.0,top
C17,123.35,-117.65,90.0,top
C18,123.83,-122.11,90.0,top
C19,124.63,-96.8,90.0,top
C2,102.49,-123.095,270.0,top
C20,125.15,-118.17,0.0,top
C21,125.31,-122.9,270.0,top
C22,125.6775,-110.48,270.0,top
C23,126.09,-132.75,180.0,top
C24,128.06,-111.21,270.0,top
C25,129.22,-128.67,0.0,top
C26,140.83,-128.92,0.0,top
C27,142.31,-127.69,180.0,top
C28,143.88,-112.15,180.0,top
C29,144.14,-132.085,180.0,top
C3,107.7,-88.635,0.0,top
C30,144.48,-114.14,90.0,top
C31,144.88,-128.16,270.0,top
C32,146.1,-128.15,270.0,top
C33,147.54,-125.07,180.0,top
C34,149.87,-128.22,90.0,top
C35,150.84,-134.37,270.0,top
C36,152.28,-134.6,0.0,top
C37,152.35,-127.76,90.0,top
C38,154.19,-101.53,270.0,top
C39,154.5,-99.11,180.0,top
C4,110.135,-88.93,180.0,top
C40,154.69,-137.3,90.0,top
C41,156.64,-117.61,270.0,top
C42,160.11,-115.19,180.0,top
C5,112.01,-119.26,180.0,top
C6,112.57,-87.16,0.0,top
C7,112.57,-88.66,0.0,top
C8,114.265,-120.4,90.0,top
C9,119.2225,-124.6,0.0,top
D1,100.69,-91.9525,270.0,top
D2,118.02,-91.12,180.0,top
D3,118.93,-129.94,90.0,top
D4,124.35,-129.95,90.0,top
F1,124.4625,-88.84,180.0,top
F2,124.47,-92.87,0.0,top
FB1,120.15,-125.89,0.0,top
FB2,153.84,-127.77,270.0,top
J1,103.15,-110.585,270.0,top
J2,107.915,-133.29,90.0,top
J4,141.97,-91.9,90.0,top
J5,140.14,-103.28,90.0,top
J6,165.2675,-132.065,90.0,top
J7,170.195,-92.09,270.0,top
J8,170.225,-109.22,270.0,top
J9,170.225,-117.44,270.0,top
Q1,107.715,-85.9575,90.0,top
R1,101.16,-95.87,270.0,top
R10,109.285,-120.87,180.0,top
R11,113.0,-109.72,90.0,top
R12,113.0,-111.61,270.0,top
R13,114.68,-105.21,180.0,top
R14,114.68,-106.18,180.0,top
R15,115.235,-120.4,90.0,top
R16,116.13,-127.03,0.0,top
R17,117.27,-92.6,180.0,top
R18,117.618,-101.78,270.0,top
R19,120.93,-128.49,180.0,top
R2,101.16,-97.77,270.0,top
R20,120.93,-129.46,0.0,top
R21,123.79,-124.33,180.0,top
R22,125.15,-117.21,180.0,top
R23,125.15,-119.14,180.0,top
R24,125.86,-129.95,270.0,top
R25,132.1,-109.74,270.0,top
R26,134.28,-128.67,180.0,top
R27,136.18,-128.67,0.0,top
R28,144.14,-130.15,180.0,top
R29,144.14,-131.1225,180.0,top
R3,101.16,-99.66,270.0,top
R30,144.14,-133.0475,180.0,top
R31,144.14,-134.02,180.0,top
R32,144.22,-119.21,90.0,top
R33,145.19,-119.21,90.0,top
R34,146.76,-134.92,180.0,top
R35,147.54,-128.59,0.0,top
R36,148.9675,-140.78,180.0,top
R37,150.85,-129.19,270.0,top
R38,151.04,-123.86,90.0,top
R39,152.02,-123.86,90.0,top
R4,102.49,-88.915,0.0,top
R40,152.28,-129.97,180.0,top
R41,152.28,-133.52,180.0,top
R42,153.0,-123.86,270.0,top
R43,153.5675,-140.78,180.0,top
R44,153.97,-123.86,90.0,top
R45,154.5,-98.14,180.0,top
R46,154.9,-131.21,0.0,top
R47,154.9,-132.4,0.0,top
R48,154.93,-104.08,270.0,top
R49,160.11,-114.22,180.0,top
R5,103.1,-116.41,180.0,top
R50,160.57,-120.13,270.0,top
R51,163.89,-90.88,180.0,top
R52,163.89,-91.836667,180.0,top
R53,163.89,-92.793333,180.0,top
R54,163.89,-93.75,180.0,top
R6,105.0,-116.41,0.0,top
R7,107.14,-83.515,0.0,top
R8,107.145,-82.54,0.0,top
R9,109.24,-87.405,0.0,top
SW1,101.8,-85.41,270.0,top
SW2,118.0475,-111.14,0.0,top
SW3,124.77,-82.92,180.0,top
TH1,123.79,-125.31,180.0,top
U1,104.86,-120.0775,180.0,top
U10,123.1175,-110.89,180.0,top
U11,125.04,-102.13,180.0,top
U12,134.97,-119.415,270.0,top
U13,147.54,-126.96,0.0,top
U14,148.08,-131.8,270.0,top
U15,156.815,-101.36,0.0,top
U16,159.29,-117.44,0.0,top
U17,160.69,-101.34,0.0,top
U18,163.165,-117.44,0.0,top
U2,104.86,-123.095,180.0,top
U3,108.31,-97.07,270.0,top
U4,110.44,-110.68,180.0,top
U5,112.01,-121.8925,270.0,top
U6,112.02,-125.7775,270.0,top
U7,119.8875,-122.63,0.0,top
U8,122.26,-96.8,0.0,top
U9,123.09,-119.5025,90.0,top
Y1,121.34,-116.82,270.0,top
