#Lattice CSV format Preference file generated by Preference Editor
#Generated at Mon May 04 22:28:58 2026
#Design : pdu_glue
#Architecture : MachXO2
#Device : LCMXO2-640HC
#Package : QFN48
#Spreadsheet : Port Assignments
Type,Name,Group By,Pin,BANK,BANK_VCC,VREF,IO Direction,IO_TYPE,PULLMODE,DRIVE,SLEWRATE,CLAMP,OPENDRAIN,DIFFRESISTOR,DIFFDRIVE,HYSTERESIS,Outload (pF),MaxSkew,Clock Load Only,SwitchingID,Ground plane PCB noise (mV),Power plane PCB noise (mV),SSO Allowance
All Ports,,,,,,,,,,,,,,,,,,,,,0.00,-0.00,100.00%
Input Port,SW_COMPUTE,,29,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,SW_ARM,,27,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,SW_RST_FAULT,,28,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,SW_REMOTE_ARM,,26,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,SW_REMOTE_DISARM,,24,2,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,ESTOP_OK,,31,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,OV,,33,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,UV,,34,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,VBUS_OV,,35,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,MCU_ALIVE,,40,0,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,MCU_CMD_ARM,,38,0,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,MCU_CMD_FAULT,,37,0,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,PRECHARGE_OK,,36,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Input Port,FB_CLOSED,,32,1,Auto,,Input,LVCMOS33,NONE,NA,NA,ON,OFF,OFF,NA,SMALL,,,,,,,
Output Port,FAULT_LATCH,,21,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,PRECHARGE_LATCH,,20,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,MOTOR_EN,,19,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,COMPUTE_EN,,18,2,Auto,,Output,LVCMOS33,NONE,8,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,K_SEL,,17,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,K_EN,,16,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,FAULT_CODE[3],,10,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,FAULT_CODE[2],,9,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,FAULT_CODE[1],,8,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,FAULT_CODE[0],,7,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,STATE_CODE[1],,12,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,STATE_CODE[0],,11,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,OVUV_OK,,2,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,ARM_PERMIT,,3,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,PRECHARGE_REQ,,4,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,DUMP_EN,,5,3,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,SPARE_OUT_0,,14,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Output Port,SPARE_OUT_1,,15,2,Auto,,Output,LVCMOS33,NONE,4,SLOW,OFF,OFF,OFF,NA,NA,0.000,,,,0.00,-0.00,100.00%
Bidi Port,i2c1_scl,,43,0,Auto,,Bidi,LVCMOS33,NONE,8,SLOW,OFF,ON,OFF,NA,SMALL,0.000,,,,0.00,-0.00,100.00%
Bidi Port,i2c1_sda,,42,0,Auto,,Bidi,LVCMOS33,NONE,8,SLOW,OFF,ON,OFF,NA,SMALL,0.000,,,,0.00,-0.00,100.00%
