#Pin Layout Report file generated by Lattice Diamond Version 3.14.0
#Generated at Tue Apr 21 20:11:53 2026
#DESIGN = PROJ500_PDU_FPGA
#DEVICE = LCMXO2-640HC
#PACKAGE = QFN48
#SPEEDGRADE = 5
Pin_Number,Pad_Name,Function,Pad/Function,IO_Bank_Number,Trace_Length,DIFF_Polarity,TYPE,Signal_Name,Direction,DIFF_Pair,IO_TYPE,PULLMODE,DRIVE,SLEWRATE,CLAMP,OPENDRAIN,DIFFRESISTOR,DIFFDRIVE,BANK_VCCIO,HYSTERESIS,PCS_SERDES,Vref,Vccio
2,PL2A,,PL2A,3,0,True_OF_PL2B,FIO,OVUV_OK,Output,,,,,,,,,,,,,,
3,PL2B,,PL2B,3,0,Comp_OF_PL2A,FIO,ARM_PERMIT,Output,,,,,,,,,,,,,,
4,PL2C,PCLKT3_2,PL2C/PCLKT3_2,3,0,True_OF_PL2D,FIO,PRECHARGE_REQ,Output,,,,,,,,,,,,,,
5,PL2D,PCLKC3_2,PL2D/PCLKC3_2,3,0,Comp_OF_PL2C,FIO,DUMP_EN,Output,,,,,,,,,,,,,,
6,VCCIO3,,VCCIO3,3,0,Unused,VCCIO3,VCCIO_BANK_3,,,,,,,,,,,,,,,3.3V
7,PL3A,,PL3A,3,0,True_OF_PL3B,FIO,FAULT_CODE[0],Output,,,,,,,,,,,,,,
8,PL3B,,PL3B,3,0,Comp_OF_PL3A,FIO,FAULT_CODE[1],Output,,,,,,,,,,,,,,
9,PL5A,PCLKT3_1,PL5A/PCLKT3_1,3,0,True_OF_PL5B,FIO,FAULT_CODE[2],Output,,,,,,,,,,,,,,
10,PL5B,PCLKC3_1,PL5B/PCLKC3_1,3,0,Comp_OF_PL5A,FIO,FAULT_CODE[3],Output,,,,,,,,,,,,,,
11,PL6A,,PL6A,3,0,True_OF_PL6B,FIO,STATE_CODE[0],Output,,,,,,,,,,,,,,
12,PL6B,,PL6B,3,0,Comp_OF_PL6A,FIO,STATE_CODE[1],Output,,,,,,,,,,,,,,
13,VCCIO2,,VCCIO2,2,0,Unused,VCCIO2,VCCIO_BANK_2,,,,,,,,,,,,,,,3.3V
14,PB4A,CSSPIN/MD4/TDOB,PB4A/CSSPIN/MD4/TDOB,2,0,True_OF_PB4B,FIO,SPARE_OUT_0,Output,,,,,,,,,,,,,,
15,PB4B,,PB4B,2,0,Comp_OF_PB4A,FIO,SPARE_OUT_1,Output,,,,,,,,,,,,,,
16,PB6A,MCLK/CCLK,PB6A/MCLK/CCLK,2,0,True_OF_PB6B,FIO,K_EN,Output,,,,,,,,,,,,,,
17,PB6B,SO/SPISO/IO1/MD1/TDIL,PB6B/SO/SPISO/IO1/MD1/TDIL,2,0,Comp_OF_PB6A,FIO,K_SEL,Output,,,,,,,,,,,,,,
18,PB6C,PCLKT2_0/INTEST_OVER,PB6C/PCLKT2_0/INTEST_OVER,2,0,True_OF_PB6D,FIO,COMPUTE_EN,Output,,,,,,,,,,,,,,
19,PB6D,PCLKC2_0,PB6D/PCLKC2_0,2,0,Comp_OF_PB6C,FIO,MOTOR_EN,Output,,,,,,,,,,,,,,
20,PB10C,PCLKT2_1/INTEST_OVER,PB10C/PCLKT2_1/INTEST_OVER,2,0,True_OF_PB10D,FIO,PRECHARGE_LATCH,Output,,,,,,,,,,,,,,
21,PB10D,PCLKC2_1,PB10D/PCLKC2_1,2,0,Comp_OF_PB10C,FIO,FAULT_LATCH,Output,,,,,,,,,,,,,,
22,VCCIO2,,VCCIO2,2,0,Unused,VCCIO2,VCCIO_BANK_2,,,,,,,,,,,,,,,3.3V
23,PB14C,SN/MD5/SCAN_SHFT_ENB/TDIB,PB14C/SN/MD5/SCAN_SHFT_ENB/TDIB,2,0,True_OF_PB14D,FIO,,,,,,,,,,,,,,,,
24,PB14D,SI/SISPI/IO0/MD0/TDOR,PB14D/SI/SISPI/IO0/MD0/TDOR,2,0,Comp_OF_PB14C,FIO,,,,,,,,,,,,,,,,
25,VCC,,VCC,,0,Unused,VCC,,Power,,,,,,,,,,,,,,
26,PR7D,,PR7D,1,0,Comp_OF_PR7C,FIO,SW_REMOTE_ARM,Input,,,,,,,,,,,,,,
27,PR7C,,PR7C,1,0,True_OF_PR7D,FIO,SW_ARM,Input,,,,,,,,,,,,,,
28,PR7B,,PR7B,1,0,Comp_OF_PR7A,FIO,SW_RST_FAULT,Input,,,,,,,,,,,,,,
29,PR7A,,PR7A,1,0,True_OF_PR7B,FIO,SW_COMPUTE,Input,,,,,,,,,,,,,,
30,VCCIO1,,VCCIO1,1,0,Unused,VCCIO1,VCCIO_BANK_1,,,,,,,,,,,,,,,3.3V
31,PR6D,,PR6D,1,0,Comp_OF_PR6C,FIO,ESTOP_OK,Input,,,,,,,,,,,,,,
32,PR6C,,PR6C,1,0,True_OF_PR6D,FIO,FB_CLOSED,Input,,,,,,,,,,,,,,
33,PR5D,PCLKC1_0,PR5D/PCLKC1_0,1,0,Comp_OF_PR5C,FIO,OV,Input,,,,,,,,,,,,,,
34,PR5C,PCLKT1_0,PR5C/PCLKT1_0,1,0,True_OF_PR5D,FIO,UV,Input,,,,,,,,,,,,,,
35,PR3D,,PR3D,1,0,Comp_OF_PR3C,FIO,VBUS_OV,Input,,,,,,,,,,,,,,
36,PR3C,,PR3C,1,0,True_OF_PR3D,FIO,PRECHARGE_OK,Input,,,,,,,,,,,,,,
37,PT11D,DONE,PT11D/DONE,0,0,Comp_OF_PT11C,FIO,MCU_CMD_FAULT,Input,,,,,,,,,,,,,,
38,PT11C,INITN,PT11C/INITN,0,0,True_OF_PT11D,FIO,MCU_CMD_ARM,Input,,,,,,,,,,,,,,
39,VCCIO0,,VCCIO0,0,0,Unused,VCCIO0,VCCIO_BANK_0,,,,,,,,,,,,,,,3.3V
40,PT10D,PROGRAMN,PT10D/PROGRAMN,0,0,Comp_OF_PT10C,FIO,MCU_ALIVE,Input,,,,,,,,,,,,,,
41,PT10C,JTAGENB/MD6/TDIR,PT10C/JTAGENB/MD6/TDIR,0,0,True_OF_PT10D,FIO,,,,,,,,,,,,,,,,
42,PT9D,SDA/IO3/MD3/ATB_FORCE/PCLKC0_0/TDOT,PT9D/SDA/IO3/MD3/ATB_FORCE/PCLKC0_0/TDOT,0,0,Comp_OF_PT9C,FIO,i2c1_sda,Bidir,,,,,,,,,,,,,,
43,PT9C,SCL/IO2/MD2/ATB_SENSE/PCLKT0_0,PT9C/SCL/IO2/MD2/ATB_SENSE/PCLKT0_0,0,0,True_OF_PT9D,FIO,i2c1_scl,Bidir,,,,,,,,,,,,,,
44,PT7D,TMS,PT7D/TMS,0,0,Comp_OF_PT7C,FIO,,,,,,,,,,,,,,,,
45,PT7C,TCK/TEST_CLK,PT7C/TCK/TEST_CLK,0,0,True_OF_PT7D,FIO,,,,,,,,,,,,,,,,
46,VCCIO0,,VCCIO0,0,0,Unused,VCCIO0,VCCIO_BANK_0,,,,,,,,,,,,,,,3.3V
47,PT7B,TDI/MD7,PT7B/TDI/MD7,0,0,Comp_OF_PT7A,FIO,,,,,,,,,,,,,,,,
48,PT7A,TDO,PT7A/TDO,0,0,True_OF_PT7B,FIO,,,,,,,,,,,,,,,,
1,VCC,,VCC,,0,Unused,VCC,,Power,,,,,,,,,,,,,,
