#Pin Out file generated by Lattice Diamond Version 3.14.0
#Generated at Wed Apr 15 08:45:11 2026
#DEVICE=LCMXO2-640HC
#PACKAGE=QFN48
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
1, PL2A, IO, 3, -, True_OF_PL2B, 2, -, +, 
2, NC_UFMWL0, , , -, , -, -, +, 
3, PL2B, IO, 3, -, Comp_OF_PL2A, 3, -, +, 
4, PL2C, IO, 3, PCLKT3_2, True_OF_PL2D, 4, -, +, 
5, NC_POR, , , -, , -, -, +, 
6, PL2D, IO, 3, PCLKC3_2, Comp_OF_PL2C, 5, -, +, 
7, NC_FLASHARRAYWELL, , , -, , -, -, +, 
8, VCCIO3, , 3, -, , 6, -, +, 
9, GND, , , -, , -, -, -, 
10, PL3A, IO, 3, -, True_OF_PL3B, 7, -, -, 
11, PL3B, IO, 3, -, Comp_OF_PL3A, 8, -, -, 
12, NC_V5MON, , , -, , -, -, -, 
13, PL3C, IO, 3, -, True_OF_PL3D, -, -, -, 
14, PL3D, IO, 3, -, Comp_OF_PL3C, -, -, -, 
15, NC_V10MON, , , -, , -, -, -, 
16, GND, , , -, , -, -, +, 
17, PL5A, IO, 3, PCLKT3_1, True_OF_PL5B, 9, -, +, 
18, NC_VCCIO3, , , -, , -, -, +, 
19, PL5B, IO, 3, PCLKC3_1, Comp_OF_PL5A, 10, -, +, 
20, PL5C, IO, 3, -, True_OF_PL5D, -, -, +, 
21, PL5D, IO, 3, -, Comp_OF_PL5C, -, -, +, 
22, PL6A, IO, 3, -, True_OF_PL6B, 11, -, +, 
23, PL6B, IO, 3, -, Comp_OF_PL6A, 12, -, +, 
24, PL6C, IO, 3, -, True_OF_PL6D, -, -, +, 
25, PL6D, IO, 3, -, Comp_OF_PL6C, -, -, +, 
26, NC_VCCINT, , , -, , -, -, +, 
27, PL7A, IO, 3, PCLKT3_0, True_OF_PL7B, -, -, +, 
28, PL7B, IO, 3, PCLKC3_0, Comp_OF_PL7A, -, -, +, 
29, NC_GND, , , -, , -, -, +, 
30, GND, , , -, , -, -, -, 
31, VCCIO3, , 3, -, , -, -, -, 
32, PL7C, IO, 3, -, True_OF_PL7D, -, -, -, 
33, PL7D, IO, 3, -, Comp_OF_PL7C, -, -, -, 
34, NC_VCCIO2, , , -, , -, -, -, 
35, VCCIO2, , 2, -, , 13, -, +, 
36, NC_PB4A, , , -, , -, -, +, 
37, PB4A, IO, 2, CSSPIN, True_OF_PB4B, 14, -, +, 
38, PB4B, IO, 2, -, Comp_OF_PB4A, 15, -, +, 
39, PB4C, IO, 2, -, True_OF_PB4D, -, -, +, 
40, PB4D, IO, 2, -, Comp_OF_PB4C, -, -, +, 
41, NC_PB6A, , , -, , -, -, +, 
42, PB6A, IO, 2, MCLK/CCLK, True_OF_PB6B, 16, -, +, 
43, PB6B, IO, 2, SO/SPISO, Comp_OF_PB6A, 17, -, +, 
44, NC_PB6B, , , -, , -, -, +, 
45, GND, , , -, , -, -, -, 
46, NC_PB6C, , , -, , -, -, -, 
47, PB6C, IO, 2, PCLKT2_0, True_OF_PB6D, 18, -, -, 
48, PB6D, IO, 2, PCLKC2_0, Comp_OF_PB6C, 19, -, -, 
49, PB10A, IO, 2, -, True_OF_PB10B, -, -, -, 
50, PB10B, IO, 2, -, Comp_OF_PB10A, -, -, -, 
51, NC_PB10C, , , -, , -, -, -, 
52, PB10C, IO, 2, PCLKT2_1, True_OF_PB10D, 20, -, -, 
53, PB10D, IO, 2, PCLKC2_1, Comp_OF_PB10C, 21, -, -, 
54, PB12A, IO, 2, -, True_OF_PB12B, -, -, -, 
55, PB12B, IO, 2, -, Comp_OF_PB12A, -, -, -, 
56, PB12C, IO, 2, -, True_OF_PB12D, -, -, -, 
57, PB12D, IO, 2, -, Comp_OF_PB12C, -, -, -, 
58, NC_GND, , , -, , -, -, -, 
59, GND, , , -, , -, -, +, 
60, PB14A, IO, 2, -, True_OF_PB14B, -, -, +, 
61, VCCIO2, , 2, -, , 22, -, +, 
62, PB14B, IO, 2, -, Comp_OF_PB14A, -, -, +, 
63, NC_PB14C, , , -, , -, -, +, 
64, PB14C, IO, 2, SN, True_OF_PB14D, 23, -, +, 
65, NC_PB14D, , , -, , -, -, +, 
66, PB14D, IO, 2, SI/SISPI, Comp_OF_PB14C, 24, -, +, 
67, NC_VCC, , , -, , -, -, +, 
68, VCC, , , -, , 25, -, +, 
69, PR7D, IO, 1, -, Comp_OF_PR7C, 26, -, -, 
70, NC_VCCIO1, , , -, , -, -, -, 
71, PR7C, IO, 1, -, True_OF_PR7D, 27, -, -, 
72, PR7B, IO, 1, -, Comp_OF_PR7A, 28, -, -, 
73, PR7A, IO, 1, -, True_OF_PR7B, 29, -, -, 
74, VCCIO1, , 1, -, , 30, -, -, 
75, NC_GND, , , -, , -, -, -, 
76, GND, , , -, , -, -, +, 
77, PR6D, IO, 1, -, Comp_OF_PR6C, 31, -, +, 
78, PR6C, IO, 1, -, True_OF_PR6D, 32, -, +, 
79, PR6B, IO, 1, -, Comp_OF_PR6A, -, -, +, 
80, PR6A, IO, 1, -, True_OF_PR6B, -, -, +, 
81, GND, , , -, , -, -, -, 
82, PR5D, IO, 1, PCLKC1_0, Comp_OF_PR5C, 33, -, -, 
83, PR5C, IO, 1, PCLKT1_0, True_OF_PR5D, 34, -, -, 
84, PR5B, IO, 1, -, Comp_OF_PR5A, -, -, -, 
85, PR5A, IO, 1, -, True_OF_PR5B, -, -, -, 
86, NC_VWLP, , , -, , -, -, -, 
87, PR3D, IO, 1, -, Comp_OF_PR3C, 35, -, -, 
88, NC_NEG_HV_MON, , , -, , -, -, -, 
89, PR3C, IO, 1, -, True_OF_PR3D, 36, -, -, 
90, PR3B, IO, 1, -, Comp_OF_PR3A, -, -, -, 
91, NC_POS_HV_MON, , , -, , -, -, -, 
92, PR3A, IO, 1, -, True_OF_PR3B, -, -, -, 
93, PR2D, IO, 1, -, Comp_OF_PR2C, -, -, -, 
94, NC_FSAFE, , , -, , -, -, -, 
95, PR2C, IO, 1, -, True_OF_PR2D, -, -, -, 
96, GND, , , -, , -, -, +, 
97, VCCIO1, , 1, -, , -, -, +, 
98, NC_TEMPSENSE, , , -, , -, -, +, 
99, PR2B, IO, 1, -, Comp_OF_PR2A, -, -, +, 
100, PR2A, IO, 1, -, True_OF_PR2B, -, -, +, 
101, PT11D, IO, 0, DONE, Comp_OF_PT11C, 37, -, -, 
102, NC_TEMPSENSEVSS, , , -, , -, -, -, 
103, PT11C, IO, 0, INITN, True_OF_PT11D, 38, -, -, 
104, NC_SPARE2, , , -, , -, -, -, 
105, PT11B, IO, 0, -, Comp_OF_PT11A, -, -, -, 
106, PT11A, IO, 0, -, True_OF_PT11B, -, -, -, 
107, NC_GND, , , -, , -, -, -, 
108, GND, , , -, , -, -, +, 
109, VCCIO0, , 0, -, , 39, -, +, 
110, NC_PT10D, , , -, , -, -, +, 
111, PT10D, IO, 0, PROGRAMN, Comp_OF_PT10C, 40, -, +, 
112, PT10C, IO, 0, JTAGENB, True_OF_PT10D, 41, -, +, 
113, NC_PT10C, , , -, , -, -, +, 
114, PT10B, IO, 0, -, Comp_OF_PT10A, -, -, +, 
115, PT10A, IO, 0, -, True_OF_PT10B, -, -, +, 
116, NC_PT9D, , , -, , -, -, +, 
117, PT9D, IO, 0, SDA/PCLKC0_0, Comp_OF_PT9C, 42, -, +, 
118, PT9C, IO, 0, SCL/PCLKT0_0, True_OF_PT9D, 43, -, +, 
119, NC_PT9C, , , -, , -, -, +, 
120, PT9B, IO, 0, PCLKC0_1, Comp_OF_PT9A, -, -, +, 
121, PT9A, IO, 0, PCLKT0_1, True_OF_PT9B, -, -, +, 
122, NC, , , -, , -, -, +, 
123, NC, , , -, , -, -, +, 
124, NC_PT7D, , , -, , -, -, +, 
125, PT7D, IO, 0, TMS, Comp_OF_PT7C, 44, -, +, 
126, PT7C, IO, 0, TCK, True_OF_PT7D, 45, -, +, 
127, NC_PT7C, , , -, , -, -, +, 
128, GND, , , -, , -, -, -, 
129, NC_VCCIO0, , , -, , -, -, -, 
130, VCCIO0, , 0, -, , 46, -, -, 
131, PT7B, IO, 0, TDI, Comp_OF_PT7A, 47, -, -, 
132, NC_PT7B, , , -, , -, -, -, 
133, PT7A, IO, 0, TDO, True_OF_PT7B, 48, -, -, 
134, NC_PT7A, , , -, , -, -, -, 
135, PT6D, IO, 0, -, Comp_OF_PT6C, -, -, -, 
136, PT6C, IO, 0, -, True_OF_PT6D, -, -, -, 
137, NC_SPARE1, , , -, , -, -, -, 
138, PT6B, IO, 0, -, Comp_OF_PT6A, -, -, -, 
139, PT6A, IO, 0, -, True_OF_PT6B, -, -, -, 
140, NC_VCC, , , -, , -, -, -, 
141, VCC, , , -, , 1, -, -, 
142, NC, , 3, -, , -, -, +, 
143, NC, , 1, -, , -, -, -, 
144, NC, , 3, -, , -, -, +, 
145, NC, , 3, -, , -, -, +, 
146, NC, , 3, -, , -, -, +, 
147, NC, , 3, -, , -, -, +, 
148, NC, , 3, -, , -, -, +, 
149, NC, , 3, -, , -, -, +, 
150, NC, , 3, -, , -, -, +, 
151, NC, , 2, -, , -, -, -, 
152, NC, , 2, -, , -, -, -, 
153, NC, , 2, -, , -, -, -, 
154, NC, , 2, -, , -, -, -, 
155, NC, , 2, -, , -, -, -, 
156, NC, , 2, -, , -, -, -, 
157, NC, , 2, -, , -, -, -, 
158, NC, , 2, -, , -, -, -, 
159, NC, , 2, -, , -, -, -, 
160, NC, , 1, -, , -, -, +, 
161, NC, , 1, -, , -, -, +, 
162, NC, , 1, -, , -, -, +, 
163, NC, , 1, -, , -, -, +, 
164, NC, , 1, -, , -, -, +, 
165, NC, , 1, -, , -, -, +, 
166, NC, , 1, -, , -, -, +, 
167, NC, , 1, -, , -, -, +, 
168, NC, , 0, -, , -, -, -, 
169, NC, , 0, -, , -, -, -, 
170, NC, , 0, -, , -, -, -, 
171, NC, , 0, -, , -, -, -, 
172, NC, , 0, -, , -, -, -, 
173, NC, , 0, -, , -, -, -, 
174, NC, , 0, -, , -, -, -, 
175, NC, , 0, -, , -, -, -, 
