joint_index,joint_name,lower_limit_rad,upper_limit_rad,neutral_ref_rad,target_lower_rad,reached_lower_rad,lower_error_rad,target_upper_rad,reached_upper_rad,upper_error_rad,pass_neutral_1,pass_lower,pass_neutral_2,pass_upper,pass_neutral_3,overall_pass
0,pelvis_link_l_yaw_joint,-0.5235990285873413,0.5235990285873413,0.0,-0.4712391257286072,-0.4712185263633728,2.0599365234408307e-05,0.4712391257286072,0.4712187349796295,-2.039074897769444e-05,True,True,True,True,True,True
1,pelvis_link_r_yaw_joint,-0.5235990285873413,0.5235990285873413,0.0,-0.4712391257286072,-0.4712187647819519,2.0360946655306744e-05,0.4712391257286072,0.4712189733982086,-2.0152330398592877e-05,True,True,True,True,True,True
2,l_hip_yaw_link_l_pitch_joint,-0.6981319785118103,1.0471980571746826,0.0,-0.6283187806606293,-0.6283207535743713,-1.9729137420432252e-06,0.9424782514572144,0.9424944519996643,1.620054244988456e-05,True,True,True,True,True,True
3,r_hip_yaw_link_r_pitch_joint,-0.6981319785118103,1.0471980571746826,0.0,-0.6283187806606293,-0.6283226013183594,-3.820657730080335e-06,0.9424782514572144,0.9424974322319031,1.918077468865409e-05,True,True,True,True,True,True
4,l_hip_pitch_link_l_roll_joint,-0.43633195757865906,0.43633195757865906,0.0,-0.39269876182079316,-0.3926941454410553,4.616379737865106e-06,0.39269876182079316,0.3926929235458374,-5.838274955760614e-06,True,True,True,True,True,True
5,r_hip_pitch_link_r_roll_joint,-0.43633195757865906,0.43633195757865906,0.0,-0.39269876182079316,-0.39269450306892395,4.258751869212762e-06,0.39269876182079316,0.39269325137138367,-5.5104494094959655e-06,True,True,True,True,True,True
6,l_thigh_link_l_knee_joint,0.0,2.0943949222564697,0.0,0.0,4.101352504143341e-14,4.101352504143341e-14,1.8849554300308229,1.884902000427246,-5.342960357679338e-05,True,True,True,True,True,True
7,r_thigh_link_r_knee_joint,0.0,2.0943949222564697,0.0,0.0,5.331326742921694e-13,5.331326742921694e-13,1.8849554300308229,1.884901762008667,-5.3668022155894946e-05,True,True,True,True,True,True
8,l_shank_link_l_ankle_joint,-0.6108649969100952,0.6108649969100952,0.0,-0.5497784972190857,-0.5497532486915588,2.5248527526833264e-05,0.5497784972190857,0.5497534275054932,-2.5069713592507092e-05,True,True,True,True,True,True
9,r_shank_link_r_ankle_joint,-0.6108649969100952,0.6108649969100952,0.0,-0.5497784972190857,-0.5497532486915588,2.5248527526833264e-05,0.5497784972190857,0.5497534275054932,-2.5069713592507092e-05,True,True,True,True,True,True
10,l_ankle_link_l_foot_joint,-0.34906598925590515,0.34906598925590515,0.0,-0.31415939033031465,-0.31414446234703064,1.4927983284007684e-05,0.31415939033031465,0.31414446234703064,-1.4927983284007684e-05,True,True,True,True,True,True
11,r_ankle_link_r_foot_joint,-0.34906598925590515,0.34906598925590515,0.0,-0.31415939033031465,-0.31414446234703064,1.4927983284007684e-05,0.31415939033031465,0.31414446234703064,-1.4927983284007684e-05,True,True,True,True,True,True
