joint_index,joint_name,direction,lower_limit_rad,upper_limit_rad,target_rad,reached_rad,position_error_rad,max_abs_effort_nm,effort_limit_nm,saturation_reached,torque_clip_ok,overall_pass,notes
0,pelvis_link_l_yaw_joint,lower,-0.5235990285873413,0.5235990285873413,-0.4712391257286072,-0.47130629420280457,-6.716847419735439e-05,50.0,50.0,True,True,True,effort reached saturation band
0,pelvis_link_l_yaw_joint,upper,-0.5235990285873413,0.5235990285873413,0.4712391257286072,0.4713316857814789,9.25600528716708e-05,50.0,50.0,True,True,True,effort reached saturation band
1,pelvis_link_r_yaw_joint,lower,-0.5235990285873413,0.5235990285873413,-0.4712391257286072,-0.4713068902492523,-6.77645206451083e-05,50.0,50.0,True,True,True,effort reached saturation band
1,pelvis_link_r_yaw_joint,upper,-0.5235990285873413,0.5235990285873413,0.4712391257286072,0.47133421897888184,9.50932502746249e-05,50.0,50.0,True,True,True,effort reached saturation band
2,l_hip_yaw_link_l_pitch_joint,lower,-0.6981319785118103,1.0471980571746826,-0.6283187806606293,-0.6313120126724243,-0.0029932320117950217,80.0,80.0,True,True,True,effort reached saturation band
2,l_hip_yaw_link_l_pitch_joint,upper,-0.6981319785118103,1.0471980571746826,0.9424782514572144,0.9457362294197083,0.00325797796249383,80.0,80.0,True,True,True,effort reached saturation band
3,r_hip_yaw_link_r_pitch_joint,lower,-0.6981319785118103,1.0471980571746826,-0.6283187806606293,-0.631320059299469,-0.0030012786388396995,80.0,80.0,True,True,True,effort reached saturation band
3,r_hip_yaw_link_r_pitch_joint,upper,-0.6981319785118103,1.0471980571746826,0.9424782514572144,0.9457903504371643,0.0033120989799498846,80.0,80.0,True,True,True,effort reached saturation band
4,l_hip_pitch_link_l_roll_joint,lower,-0.43633195757865906,0.43633195757865906,-0.39269876182079316,-0.3997718393802643,-0.007073077559471119,74.38357543945312,75.0,True,True,True,effort reached saturation band
4,l_hip_pitch_link_l_roll_joint,upper,-0.43633195757865906,0.43633195757865906,0.39269876182079316,0.3996393382549286,0.006940576434135426,74.42288208007812,75.0,True,True,True,effort reached saturation band
5,r_hip_pitch_link_r_roll_joint,lower,-0.43633195757865906,0.43633195757865906,-0.39269876182079316,-0.3997800350189209,-0.0070812731981277355,74.41197967529297,75.0,True,True,True,effort reached saturation band
5,r_hip_pitch_link_r_roll_joint,upper,-0.43633195757865906,0.43633195757865906,0.39269876182079316,0.3996649980545044,0.006966236233711232,74.42444610595703,75.0,True,True,True,effort reached saturation band
6,l_thigh_link_l_knee_joint,lower,0.0,2.0943949222564697,0.0,-1.8230367215821275e-10,-1.8230367215821275e-10,0.02704562619328499,90.0,False,True,True,
6,l_thigh_link_l_knee_joint,upper,0.0,2.0943949222564697,1.8849554300308229,1.8849626779556274,7.247924804554273e-06,90.0,90.0,True,True,True,effort reached saturation band
7,r_thigh_link_r_knee_joint,lower,0.0,2.0943949222564697,0.0,5.7735683185455855e-06,5.7735683185455855e-06,0.15231698751449585,90.0,False,True,True,
7,r_thigh_link_r_knee_joint,upper,0.0,2.0943949222564697,1.8849554300308229,1.884965419769287,9.989738464222242e-06,90.0,90.0,True,True,True,effort reached saturation band
8,l_shank_link_l_ankle_joint,lower,-0.6108649969100952,0.6108649969100952,-0.5497784972190857,-0.5497799515724182,-1.4543533325417357e-06,100.0,100.0,True,True,True,effort reached saturation band
8,l_shank_link_l_ankle_joint,upper,-0.6108649969100952,0.6108649969100952,0.5497784972190857,0.549781084060669,2.5868415832741576e-06,100.0,100.0,True,True,True,effort reached saturation band
9,r_shank_link_r_ankle_joint,lower,-0.6108649969100952,0.6108649969100952,-0.5497784972190857,-0.5497797727584839,-1.2755393982155638e-06,100.0,100.0,True,True,True,effort reached saturation band
9,r_shank_link_r_ankle_joint,upper,-0.6108649969100952,0.6108649969100952,0.5497784972190857,0.5497800707817078,1.573562622092517e-06,100.0,100.0,True,True,True,effort reached saturation band
10,l_ankle_link_l_foot_joint,lower,-0.34906598925590515,0.34906598925590515,-0.31415939033031465,-0.31415942311286926,-3.2782554615362614e-08,37.69921875,40.0,False,True,True,
10,l_ankle_link_l_foot_joint,upper,-0.34906598925590515,0.34906598925590515,0.31415939033031465,0.31416016817092896,7.778406143077454e-07,37.698997497558594,40.0,False,True,True,
11,r_ankle_link_r_foot_joint,lower,-0.34906598925590515,0.34906598925590515,-0.31415939033031465,-0.31415989995002747,-5.096197128184876e-07,37.69920349121094,40.0,False,True,True,
11,r_ankle_link_r_foot_joint,upper,-0.34906598925590515,0.34906598925590515,0.31415939033031465,0.3141598403453827,4.50015068043097e-07,37.699012756347656,40.0,False,True,True,
